,Um,Ur,Ud,C_target
377,0.80114,0.8468,0.79688,0.0
378,0.80149,0.84741,0.79692,0.0
379,0.80199,0.84759,0.79697,0.0
380,0.80216,0.84806,0.79703,0.0
381,0.80257,0.84876,0.79711,0.0
382,0.80283,0.84919,0.79718,0.0
383,0.8032,0.84957,0.79724,0.0
384,0.80347,0.84996,0.79727,0.0
385,0.80374,0.85063,0.79727,0.0
386,0.80418,0.85096,0.79741,0.0
387,0.80452,0.85137,0.79746,0.0
388,0.80475,0.85195,0.79754,0.0
389,0.80523,0.85238,0.79762,0.0
390,0.8055,0.85285,0.79763,0.0
391,0.80574,0.85335,0.79771,0.0
392,0.80607,0.85394,0.79778,0.0
393,0.80641,0.85441,0.79787,0.0
394,0.80674,0.85471,0.79792,0.0
395,0.80716,0.8552,0.79796,0.0
396,0.8072,0.85556,0.79801,0.0
397,0.80751,0.85618,0.79812,0.0
398,0.80788,0.85646,0.79819,0.0
399,0.80819,0.85712,0.79816,0.0
400,0.80832,0.8573,0.79823,0.0
401,0.80888,0.8576,0.79828,0.0
402,0.80904,0.85815,0.79834,0.0
403,0.80925,0.8588,0.79843,0.0
404,0.8095,0.85926,0.7985,0.0
405,0.80994,0.85952,0.79851,0.0
406,0.81021,0.8598,0.79859,0.0
407,0.81059,0.86037,0.79866,0.0
408,0.81069,0.86052,0.79866,0.0
409,0.81101,0.86107,0.79873,0.0
410,0.81134,0.86154,0.79883,0.0
411,0.81165,0.8619,0.79883,0.0
412,0.81183,0.8623,0.79888,0.0
413,0.81202,0.86262,0.79889,0.0
414,0.81247,0.86308,0.799,0.0
415,0.81262,0.8634,0.79904,0.0
416,0.81289,0.86387,0.79912,0.0
417,0.81332,0.86424,0.79918,0.0
418,0.81339,0.86454,0.79919,0.0
419,0.81348,0.86501,0.79925,0.0
420,0.81394,0.86529,0.7993,0.0
421,0.81427,0.86582,0.79939,0.0
422,0.81454,0.8661,0.79936,0.0
423,0.81484,0.86651,0.79947,0.0
424,0.815,0.86664,0.79948,0.0
425,0.81513,0.86736,0.79948,0.0
426,0.81547,0.86765,0.79959,0.0
427,0.81594,0.86785,0.79959,0.0
428,0.81589,0.86817,0.79969,0.0
429,0.81613,0.86852,0.7997,0.0
430,0.81644,0.8689,0.79976,0.0
431,0.81643,0.86919,0.7998,0.0
432,0.81695,0.86965,0.79986,0.0
433,0.81711,0.87,0.79989,0.0
434,0.81736,0.87025,0.79993,0.0
435,0.81749,0.87058,0.79999,0.0
436,0.81782,0.87098,0.80004,0.0
437,0.81805,0.8713,0.80005,0.0
438,0.81836,0.87173,0.80013,0.0
439,0.81843,0.87187,0.80014,0.0
440,0.81881,0.87234,0.80016,0.0
441,0.81878,0.8724,0.80023,0.0
442,0.81892,0.87302,0.8003,0.0
443,0.81931,0.87325,0.80038,0.0
444,0.81956,0.8735,0.80039,0.0
445,0.81978,0.87378,0.8004,0.0
446,0.81989,0.87409,0.80048,0.0
447,0.82022,0.87445,0.80051,0.0
448,0.82039,0.87466,0.80056,0.0
449,0.82056,0.87515,0.80058,0.0
450,0.82092,0.87551,0.80062,0.0
451,0.82095,0.87569,0.80062,0.0
452,0.82124,0.8759,0.80069,0.0
453,0.82133,0.87616,0.80069,0.0
454,0.82143,0.87652,0.80075,0.0
455,0.82177,0.8766,0.80083,0.0
456,0.822,0.87703,0.80088,0.0
