,C,Um,Ur,Ud,C_target
455,301.034058,0.70864,0.71221,0.77773,0.0
456,82.274521,0.7089,0.71231,0.77779,0.0
457,292.293213,0.70882,0.71237,0.77782,0.0
458,-247.774612,0.70898,0.71234,0.77789,0.0
459,149.069275,0.70868,0.71237,0.77785,0.0
460,222.089386,0.7089,0.71221,0.77781,0.0
461,237.354431,0.70895,0.71196,0.77776,0.0
462,141.969528,0.70858,0.71194,0.77779,0.0
463,-197.233093,0.70871,0.71195,0.77768,0.0
464,233.856796,0.70868,0.71216,0.77774,0.0
465,-397.765686,0.70893,0.71212,0.77791,0.0
466,42.350254,0.7089,0.71194,0.77789,0.0
467,261.417969,0.70866,0.7121,0.77784,0.0
468,-326.549225,0.70867,0.71208,0.77781,0.0
469,214.596664,0.70869,0.71214,0.77784,0.0
470,338.77713,0.70853,0.712,0.77782,0.0
471,-357.206909,0.70863,0.71192,0.7777,0.0
472,127.427925,0.7087,0.71163,0.77768,0.0
473,249.972916,0.70863,0.71193,0.77788,0.0
474,269.713684,0.70842,0.71184,0.77777,0.0
475,-297.780151,0.70849,0.71176,0.77773,0.0
476,-291.975037,0.70846,0.71153,0.77765,0.0
477,-280.456055,0.70868,0.71177,0.77774,0.0
478,156.218002,0.70847,0.71192,0.77778,0.0
479,-356.13855,0.70837,0.71161,0.77769,0.0
480,332.394989,0.70822,0.71143,0.77747,0.0
481,322.354553,0.70864,0.71178,0.77769,0.0
482,-218.337051,0.7084,0.71158,0.77778,0.0
483,362.350861,0.70838,0.71159,0.77788,0.0
484,-344.306824,0.70815,0.71157,0.7776,0.0
485,270.040039,0.70804,0.71142,0.77759,0.0
486,202.885849,0.70832,0.7113,0.77758,0.0
487,190.839218,0.70811,0.71132,0.77753,0.0
488,-328.58316,0.70799,0.71118,0.77752,0.0
489,-159.764618,0.70808,0.71133,0.77756,0.0
490,321.01004,0.70835,0.71145,0.77765,0.0
491,-343.606934,0.70818,0.71121,0.77764,0.0
492,262.865448,0.70809,0.71123,0.77757,0.0
493,206.485031,0.70812,0.71106,0.77757,0.0
494,-295.238007,0.70803,0.71127,0.77757,0.0
495,-172.259811,0.70817,0.71112,0.7776,0.0
496,-312.495544,0.70813,0.71102,0.77756,0.0
497,271.812744,0.70794,0.7112,0.77762,0.0
498,190.560272,0.70791,0.71118,0.77759,0.0
499,-359.771729,0.708,0.71111,0.77761,0.0
500,258.318756,0.70797,0.71102,0.77758,0.0
501,-325.094269,0.70782,0.71096,0.77756,0.0
502,-234.700851,0.70791,0.71097,0.77758,0.0
503,-208.564133,0.708,0.71071,0.77741,0.0
504,118.888435,0.70785,0.71071,0.77736,0.0
505,-265.402374,0.70758,0.71078,0.77748,0.0
506,-367.050079,0.70795,0.7107,0.77736,0.0
507,292.044495,0.70761,0.71071,0.77753,0.0
508,-167.341949,0.70775,0.71091,0.77747,0.0
509,-332.757141,0.70769,0.71071,0.77745,0.0
510,267.78067,0.70786,0.71067,0.77738,0.0
511,-295.518616,0.70786,0.71075,0.77736,0.0
512,281.321655,0.70781,0.71056,0.77741,0.0
513,106.869453,0.70749,0.7106,0.77745,0.0
514,-348.059174,0.70761,0.71059,0.77745,0.0
515,236.197906,0.70787,0.71067,0.77742,0.0
516,-162.152328,0.70766,0.71073,0.77742,0.0
517,177.409698,0.7075,0.71067,0.77745,0.0
518,-182.706451,0.70756,0.71059,0.77762,0.0
519,-216.925919,0.70771,0.71044,0.77738,0.0
520,349.210144,0.70731,0.71035,0.77745,0.0
521,-241.417313,0.70767,0.71043,0.77742,0.0
522,-366.84259,0.70789,0.71045,0.77744,0.0
523,-212.456802,0.70766,0.71041,0.77742,0.0
524,-286.839386,0.70748,0.71021,0.77749,0.0
525,243.874878,0.70752,0.71052,0.7775,0.0
