,C,Um,Ur,Ud,C_target
5178,-86.789963,0.70288,0.70222,0.77654,1.8
5179,156.889282,0.70256,0.70247,0.77649,1.8
5180,70.806908,0.70268,0.70242,0.77642,1.8
5181,55.059566,0.70272,0.70243,0.77645,1.8
5182,-97.822517,0.70312,0.70254,0.77654,1.8
5183,128.561584,0.70291,0.70291,0.77651,1.8
5184,0.390044,0.703,0.70266,0.77647,1.8
5185,45.967979,0.70293,0.70271,0.77643,1.8
5186,56.471134,0.70281,0.70257,0.77656,1.8
5187,-29.370014,0.70306,0.70265,0.77654,1.8
5188,-24.565271,0.70302,0.70261,0.77655,1.8
5189,-92.489723,0.70286,0.70217,0.7765,1.8
5190,-10.452068,0.70276,0.70227,0.77648,1.8
5191,70.140686,0.70264,0.70235,0.77646,1.8
5192,-61.424984,0.70277,0.70213,0.77642,1.8
5193,-103.934349,0.7028,0.70206,0.77648,1.8
5194,-3.873151,0.70258,0.70203,0.77638,1.8
5195,233.150726,0.70219,0.70214,0.77639,1.8
5196,-45.676853,0.70258,0.7019,0.7764,1.8
5197,-69.755028,0.70262,0.70189,0.77641,1.8
5198,-1.101287,0.70242,0.70181,0.77642,1.8
5199,63.190498,0.70222,0.70172,0.7764,1.8
5200,120.198212,0.70222,0.70187,0.77644,1.8
5201,-87.663956,0.70262,0.70184,0.77641,1.8
5202,7.563988,0.70253,0.702,0.77647,1.8
5203,-123.664566,0.70281,0.70201,0.77647,1.8
5204,13.16322,0.70269,0.70225,0.77651,1.8
5205,0.79789,0.70282,0.7024,0.77655,1.8
5206,2.145578,0.70276,0.70232,0.77654,1.8
5207,6.886274,0.7027,0.70225,0.77652,1.8
5208,1.025169,0.70295,0.70259,0.77659,1.8
5209,-3.333016,0.70302,0.70268,0.77661,1.8
5210,15.046597,0.70305,0.70279,0.77662,1.8
5211,-35.213436,0.70316,0.70278,0.77664,1.8
5212,-28.491524,0.70327,0.70296,0.77666,1.8
5213,-81.077003,0.70357,0.70325,0.77667,1.8
5214,-44.642185,0.70342,0.70313,0.77665,1.8
5215,-144.673416,0.70343,0.70286,0.77662,1.8
5216,-68.809845,0.70346,0.70313,0.77661,1.8
5217,78.839935,0.70313,0.70309,0.77661,1.8
5218,85.653458,0.70301,0.70295,0.77658,1.8
5219,55.249245,0.70291,0.7027,0.77654,1.8
5220,49.399837,0.70283,0.70257,0.77649,1.8
5221,-195.238327,0.70318,0.70237,0.7765,1.8
5222,17.92691,0.70276,0.70238,0.77648,1.8
5223,-18.446657,0.70273,0.70221,0.77644,1.8
5224,-9.864974,0.70258,0.70202,0.77644,1.8
5225,-36.554543,0.70251,0.70182,0.77642,1.8
5226,16.415264,0.70229,0.70168,0.77643,1.8
5227,-26.265648,0.70228,0.70152,0.77639,1.8
5228,83.2313,0.7021,0.7016,0.77634,1.8
5229,-33.714413,0.70237,0.70162,0.77639,1.8
5230,90.029846,0.70205,0.70155,0.77639,1.8
5231,-31.415537,0.70252,0.70185,0.77639,1.8
5232,-13.575823,0.70234,0.70164,0.7764,1.8
5233,6.142734,0.70235,0.70173,0.77641,1.8
5234,-18.484953,0.70248,0.70184,0.7765,1.8
5235,15.501376,0.70255,0.70205,0.77649,1.8
5236,17.466686,0.70261,0.70216,0.77649,1.8
